id,word,fast_meaning,example_sentence,source,sort_order,created_at,updated_at
1,aberrant,departing from the norm,The aberrant result was removed only after the lab found a recording error. | Such aberrant behavior is unusual for him. | The software crashed due to an aberrant code loop. | They studied the aberrant cell growth. | The weather has been completely aberrant lately.,sat_300_plus_vocab_dataset,11,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
12,alleviate,make less severe,The new schedule alleviated crowding without increasing the school's budget. | The medicine helped alleviate the pain. | We must take steps to alleviate poverty. | A cold compress will alleviate the swelling. | He tried to alleviate her fears about the flight.,sat_300_plus_vocab_dataset,27,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
13,ambivalent,having mixed feelings,He felt ambivalent about the award because it rewarded work he now questioned. | She is ambivalent about moving to a new city. | The voters are ambivalent toward the new candidate. | I remain completely ambivalent about the movie. | His ambivalent attitude frustrated his team.,sat_300_plus_vocab_dataset,29,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
14,ameliorate,make a problem better,The charity hoped tutoring would ameliorate the effects of lost classroom time. | The new laws ameliorate the poor working conditions. | We need a plan to ameliorate the housing crisis. | Foreign aid helped ameliorate the famine. | The manager tried to ameliorate the customer's frustration.,sat_300_plus_vocab_dataset,30,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
15,amenable,open to persuasion,The council was amenable to revisions once residents proposed practical alternatives. | The children were amenable to trying the new vegetables. | He is rarely amenable to outside advice. | The schedule is completely amenable to change. | She proved amenable to the compromise.,sat_300_plus_vocab_dataset,31,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
16,amorphous,lacking clear shape or structure,"The group began with an amorphous goal, but weekly meetings gradually produced a detailed plan. | The amorphous plan changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its amorphous plan became clear once the evidence was examined. | In the debate, the speaker’s amorphous plan mattered as much as the facts he presented. | A careful reader would notice how the amorphous plan reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100016,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
17,anachronistic,out of its time,The novel's anachronistic slang made the ancient setting feel oddly modern. | The director used anachronistic music in the period film. | His views on gender roles are completely anachronistic. | The castle features anachronistic electric lighting. | The sword in the modern setting was deliberately anachronistic.,sat_300_plus_vocab_dataset,32,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
18,ancillary,supporting the main purpose,"The museum’s ancillary programs, including workshops and lectures, deepened visitors’ understanding of the exhibition. | The ancillary evidence changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its ancillary evidence became clear once the evidence was examined. | In the debate, the speaker’s ancillary evidence mattered as much as the facts he presented. | A careful reader would notice how the ancillary evidence reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100018,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
19,anodyne,inoffensive or soothing,The candidate offered anodyne remarks that pleased everyone and clarified little. | The music was anodyne background noise. | She took an anodyne pill for her headache. | The corporate statement was entirely anodyne. | He offered an anodyne apology to avoid conflict.,sat_300_plus_vocab_dataset,33,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
20,anomalous,unusual or unexpected,The anomalous spike in sales puzzled analysts until a holiday promotion was found. | It was an anomalous warm day in the middle of winter. | The test produced anomalous results. | They investigated the anomalous radio signals. | Such anomalous behavior is cause for concern.,sat_300_plus_vocab_dataset,34,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
21,antagonistic,actively opposed or hostile,The two researchers were antagonistic in debate but respectful in print. | The crowd became antagonistic toward the referee. | He took an antagonistic stance during the meeting. | The rival gangs are highly antagonistic. | Her antagonistic remarks started a fight.,sat_300_plus_vocab_dataset,35,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
22,antipathy,strong feeling of dislike,His antipathy toward bureaucracy made the detailed application especially frustrating. | The cat showed a clear antipathy toward the new dog. | There is a historical antipathy between the two nations. | She felt a deep antipathy for dishonest people. | His antipathy to loud noises makes concerts impossible.,sat_300_plus_vocab_dataset,36,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
23,antithetical,directly opposed in nature,The secretive process was antithetical to the group's stated commitment to transparency. | His luxurious lifestyle is antithetical to his charitable claims. | War is antithetical to the principles of peace. | The two philosophies are completely antithetical. | Her actions were antithetical to the company's core values.,sat_300_plus_vocab_dataset,37,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
24,apocryphal,probably not authentic,The apocryphal story about the inventor survives because it is memorable. | The quote attributed to him is widely considered apocryphal. | She dismissed the rumor as an apocryphal tale. | History is full of apocryphal legends. | The apocryphal gospel was never included in the official text.,sat_300_plus_vocab_dataset,39,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
25,appease,calm by giving in,The company lowered fees to appease customers after the outage. | He bought her flowers to appease her anger. | The government tried to appease the rebels with land. | Nothing could appease the crying toddler. | They made concessions to appease the furious investors.,sat_300_plus_vocab_dataset,40,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
26,arbitrary,based on whim,The deadline seemed arbitrary because no one could explain why it mattered. | The judge's ruling felt completely arbitrary. | The rules were enforced in an arbitrary manner. | He made an arbitrary decision to paint the room green. | An arbitrary limit was placed on the number of attendees.,sat_300_plus_vocab_dataset,42,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
27,arcane,known by few,The manual was full of arcane terms that confused new technicians. | He studies arcane religious rituals. | The building's architecture involves arcane geometric principles. | She possesses arcane knowledge of medieval herbs. | The arcane rules of the club are never written down.,sat_300_plus_vocab_dataset,43,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
28,ardent,deeply enthusiastic or passionate,An ardent defender of libraries spoke at every budget meeting. | He is an ardent supporter of the local football team. | The poet was an ardent lover of nature. | She has an ardent desire to travel the world. | His ardent speech inspired the crowd.,sat_300_plus_vocab_dataset,44,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
29,arduous,requiring great effort,The arduous climb rewarded hikers with a view of the entire valley. | Writing the encyclopedia was an arduous task. | They survived an arduous journey across the desert. | The recovery from the surgery will be arduous. | He faced an arduous battle in court.,sat_300_plus_vocab_dataset,45,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
30,assiduous,hardworking and persistent,Through assiduous research the student found patterns that earlier readers had missed. | He was assiduous in his daily training. | The team made assiduous efforts to repair the bridge. | She is an assiduous reader of history. | Assiduous practice leads to mastery.,sat_300_plus_vocab_dataset,4,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
31,astute,shrewd and perceptive,The astute critic noticed how the painting echoed earlier political posters. | She is an astute observer of human behavior. | His astute investments made him wealthy. | An astute manager anticipates problems before they happen. | The detective made an astute deduction based on the footprints.,sat_300_plus_vocab_dataset,50,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
32,austere,plain and severe,The austere building used bare concrete rather than decorative stone. | The headmaster was an austere man who rarely smiled. | They lived an austere life on the remote farm. | The austere landscape had a harsh beauty. | The budget required austere financial measures.,sat_300_plus_vocab_dataset,52,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
33,authoritative,reliable and commanding trust,"The article became authoritative because it synthesized decades of evidence rather than relying on a single study. | The authoritative source changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its authoritative source became clear once the evidence was examined. | In the debate, the speaker’s authoritative source mattered as much as the facts he presented. | A careful reader would notice how the authoritative source reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100033,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
34,autonomous,self-governing or independent,"The laboratory designed an autonomous drone that could map forests without constant human control. | The autonomous community changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its autonomous community became clear once the evidence was examined. | In the debate, the speaker’s autonomous community mattered as much as the facts he presented. | A careful reader would notice how the autonomous community reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100034,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
35,aversion,strong feeling of dislike,Her aversion to shortcuts made her a careful but slow editor. | I have a deep aversion to raw fish. | His aversion to public speaking is well known. | She felt a sudden aversion to the loud music. | He overcame his aversion to flying by taking lessons.,sat_300_plus_vocab_dataset,55,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
36,banal,dull and unoriginal,The speech relied on banal slogans instead of specific plans. | The pop song's lyrics were completely banal. | He made a banal comment about the weather. | The movie was full of banal plot twists. | She was bored by the banal conversation at the party.,sat_300_plus_vocab_dataset,56,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
37,belie,give a false impression,His calm voice belied the anxiety he felt before the interview. | The peaceful landscape belies the region's violent history. | Her youthful energy belies her true age. | His smile belied the anger in his eyes. | The simple design belies the machine's complex function.,sat_300_plus_vocab_dataset,57,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
38,bellicose,eager for conflict or war,"The senator’s bellicose rhetoric alarmed diplomats who hoped to preserve negotiations. | The bellicose speech changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its bellicose speech became clear once the evidence was examined. | In the debate, the speaker’s bellicose speech mattered as much as the facts he presented. | A careful reader would notice how the bellicose speech reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100038,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
39,benign,gentle or harmless,The rumor proved benign once the full context became public. | The doctor assured him the tumor was benign. | She has a benign smile that puts everyone at ease. | The climate in this region is quite benign. | The chemical is benign and safe for the environment.,sat_300_plus_vocab_dataset,59,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
40,bolster,strengthen or support,The archaeologist used carbon dating to bolster her interpretation of the site. | More pillows were added to bolster the injured leg. | The unexpected praise helped bolster his confidence. | They sent reinforcements to bolster the defense line. | The evidence serves to bolster the prosecutor's case.,sat_300_plus_vocab_dataset,60,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
41,bombastic,overblown and pretentious,"The mayor’s bombastic speech used grand phrases but offered few specific plans. | The bombastic oration changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its bombastic oration became clear once the evidence was examined. | In the debate, the speaker’s bombastic oration mattered as much as the facts he presented. | A careful reader would notice how the bombastic oration reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100041,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
42,brevity,concise use of words,The editor praised the essay's brevity because every sentence served a purpose. | The brevity of the meeting was a pleasant surprise. | Poetry relies heavily on brevity and impact. | He is known for the extreme brevity of his emails. | The brevity of human life is a common theme in literature.,sat_300_plus_vocab_dataset,62,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
43,brusque,abrupt and curt,The clerk's brusque reply made the routine request feel unwelcome. | The doctor was brusque but highly efficient. | A brusque dismissal ended the conversation instantly. | Her brusque manner often offended new acquaintances. | He gave a brusque nod and walked away.,sat_300_plus_vocab_dataset,63,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
44,burgeon,grow or expand rapidly,Interest in urban gardening began to burgeon after the city offered vacant lots. | The town's population began to burgeon during the gold rush. | The burgeon of new technologies changed the industry. | Her confidence burgeoned as she won more matches. | The local art scene is burgeoning.,sat_300_plus_vocab_dataset,64,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
45,cacophonous,harsh or jarring in sound,"The market was cacophonous at noon, with vendors calling out prices over the rumble of traffic. | The cacophonous hallway changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its cacophonous hallway became clear once the evidence was examined. | In the debate, the speaker’s cacophonous hallway mattered as much as the facts he presented. | A careful reader would notice how the cacophonous hallway reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100045,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
46,candid,honest and direct,The mentor's candid feedback helped the writer improve the weak conclusion. | Let me be perfectly candid with you about your performance. | The photographer caught a candid moment of laughter. | She gave a candid interview about her struggles. | His candid admission of guilt was refreshing.,sat_300_plus_vocab_dataset,67,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
47,capricious,changing in unpredictable ways,The capricious weather forced organizers to move the concert indoors twice. | The capricious king changed his mind daily. | Her capricious moods made her hard to work with. | The stock market is famously capricious. | It was a capricious decision based on no logic.,sat_300_plus_vocab_dataset,68,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
48,catalyst,thing that triggers change,"The court decision became a catalyst for reforms that had been discussed for years. | The discovery served as a catalyst, transforming a minor dispute into a national debate. | In the essay, the small incident becomes a catalyst for broader social change. | Historians later treated the event as a catalyst because it revealed tensions that had been hidden for years. | The author uses the storm as a catalyst, hinting that a more serious conflict is approaching.",sat_300_plus_vocab_dataset,100048,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
49,caustic,harshly critical or biting,Her caustic comments damaged morale even when her points were accurate. | The caustic chemical burned a hole in the fabric. | He is known for his caustic sense of humor. | The critic wrote a caustic review of the play. | She delivered a caustic reply that silenced the room.,sat_300_plus_vocab_dataset,71,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
50,censure,officially criticize or condemn,The board voted to censure the official for concealing the audit. | The senator faced public censure for his remarks. | The newspaper's editorial was a severe censure of the mayor. | The medical council censured the doctor's unethical practices. | She narrowly avoided formal censure by apologizing.,sat_300_plus_vocab_dataset,72,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
51,chary,cautious and reluctant,"Having seen similar programs fail, the superintendent was chary of adopting the new software immediately. | The chary investor changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its chary investor became clear once the evidence was examined. | In the debate, the speaker’s chary investor mattered as much as the facts he presented. | A careful reader would notice how the chary investor reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100051,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
52,charlatan,fraud pretending to have expertise,"The pamphlet exposed the supposed healer as a charlatan who sold useless remedies. | The prosecutor portrayed him as a charlatan, arguing that his polished language concealed a lack of real expertise. | Even sympathetic observers began to doubt the charlatan when his credentials could not be verified. | In the passage, the charlatan gains influence by exploiting the public’s desire for easy answers. | The narrator contrasts the charlatan with a careful scholar who admits the limits of her knowledge.",sat_300_plus_vocab_dataset,100052,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
53,circumspect,careful to avoid risk,The historian was circumspect when judging a source with an unknown author. | The bank is circumspect about lending money now. | He was circumspect in his responses to the press. | A circumspect approach is needed here. | She took a circumspect look around the room.,sat_300_plus_vocab_dataset,9,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
54,circumvent,find a way around,"The company tried to circumvent the regulation by moving the records to a foreign server. | The editorial tried to circumvent the safety rules, but its evidence was too thin to persuade careful readers. | Rather than circumvent the safety rules, the author acknowledged uncertainty and strengthened the argument. | The committee’s attempt to circumvent the safety rules became a central issue in the investigation. | In the final paragraph, new testimony helps circumvent the safety rules and changes the reader’s interpretation.",sat_300_plus_vocab_dataset,100054,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
55,clandestine,secret and concealed,The journalists uncovered a clandestine effort to influence the study. | They held clandestine meetings in the basement. | The spy ran a clandestine operation across the border. | Their clandestine romance was finally discovered. | The group planned a clandestine escape.,sat_300_plus_vocab_dataset,76,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
56,coalesce,come together into one,Several small protests coalesced into a national movement for reform. | The puddles coalesced into a large stream. | The various ideas finally coalesced into a single plan. | The factions coalesced to fight a common enemy. | The stars coalesced from clouds of gas and dust.,sat_300_plus_vocab_dataset,77,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
57,coerce,force by pressure or threats,"The study excluded responses from participants who felt coerced rather than freely willing to participate. | The editorial tried to coerce witnesses into silence, but its evidence was too thin to persuade careful readers. | Rather than coerce witnesses into silence, the author acknowledged uncertainty and strengthened the argument. | The committee’s attempt to coerce witnesses into silence became a central issue in the investigation. | In the final paragraph, new testimony helps coerce witnesses into silence and changes the reader’s interpretation.",sat_300_plus_vocab_dataset,100057,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
58,cogent,clear and convincing,The essay became more cogent after the writer replaced anecdotes with evidence. | She presented a cogent argument for the budget increase. | His explanation was surprisingly cogent. | We need a more cogent strategy. | The lawyer's cogent defense swayed the jury.,sat_300_plus_vocab_dataset,5,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
59,commensurate,equal in measure,The punishment seemed commensurate with the offense rather than excessive. | Her salary is commensurate with her extensive experience. | The size of the reward was commensurate to the risk taken. | They requested a budget commensurate with their needs. | His response was completely commensurate with the threat.,sat_300_plus_vocab_dataset,79,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
60,complacent,self satisfied and unaware,Early success made the team complacent and less attentive to errors. | We cannot afford to become complacent about security. | The complacent student failed the final exam. | The company lost its edge due to complacent management. | His complacent smile annoyed his hard-working peers.,sat_300_plus_vocab_dataset,80,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
61,conciliatory,intended to reduce conflict,The manager adopted a conciliatory tone after the meeting grew tense. | She offered a conciliatory gesture to end the argument. | The diplomat's conciliatory approach prevented a war. | He wrote a conciliatory letter of apology. | The union leaders accepted the conciliatory offer.,sat_300_plus_vocab_dataset,81,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
62,conducive,helping something happen,"A quiet room and clear schedule are conducive to the kind of sustained reading the course requires. | The conducive environment changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its conducive environment became clear once the evidence was examined. | In the debate, the speaker’s conducive environment mattered as much as the facts he presented. | A careful reader would notice how the conducive environment reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100062,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
63,conjecture,guess based on incomplete evidence,"The archaeologist described her claim as conjecture until additional pottery fragments could be analyzed. | The scholar presented the idea as a conjecture, not as a conclusion supported by complete evidence. | The passage depends on a conjecture that readers are expected to question rather than accept. | By invoking a conjecture, the author exposes the gap between public appearance and private motive. | The debate turned on a conjecture, since no witness could provide decisive proof.",sat_300_plus_vocab_dataset,100063,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
64,consequential,having important effects,"A seemingly small change in the voting rules proved consequential in the final outcome. | The consequential decision changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its consequential decision became clear once the evidence was examined. | In the debate, the speaker’s consequential decision mattered as much as the facts he presented. | A careful reader would notice how the consequential decision reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100064,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
65,construe,interpret in a way,Readers may construe the ending as hopeful rather than tragic. | How do you construe the meaning of this ancient text? | His silence was construed as agreement. | I construed her remark as a compliment. | The law can be construed in several different ways.,sat_300_plus_vocab_dataset,84,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
66,contentious,likely to cause disagreement,The contentious proposal divided residents who otherwise shared similar goals. | The divorce proceedings were highly contentious. | Gun control is a deeply contentious issue. | The board had a contentious debate over the budget. | He has a contentious personality and loves to argue.,sat_300_plus_vocab_dataset,85,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
67,contemptuous,showing scorn or disrespect,"The review was contemptuous of the sequel, calling it a louder version of a weaker story. | The contemptuous remark changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its contemptuous remark became clear once the evidence was examined. | In the debate, the speaker’s contemptuous remark mattered as much as the facts he presented. | A careful reader would notice how the contemptuous remark reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100067,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
68,contrite,genuinely sorry for wrongdoing,The contrite student revised the article and acknowledged the error publicly. | He wrote a contrite apology letter to his friend. | The thief seemed contrite before the judge. | A contrite heart is the first step to forgiveness. | She offered a genuinely contrite expression.,sat_300_plus_vocab_dataset,86,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
69,convoluted,complicated in unnecessary ways,The instructions were so convoluted that experienced volunteers made mistakes. | The movie's plot was excessively convoluted. | The lawyer's convoluted argument confused the jury. | We got lost in the convoluted maze of city streets. | The tax code is famously convoluted.,sat_300_plus_vocab_dataset,89,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
70,copious,abundant and plentiful,The archive contained copious letters from the poet's later years. | She took copious notes during the long lecture. | The feast included copious amounts of food and wine. | He suffered copious bleeding from the wound. | The region receives copious rainfall in the spring.,sat_300_plus_vocab_dataset,92,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
71,corroborate,confirm with evidence,Two photographs corroborated the witness's account of the event. | The DNA evidence corroborates the suspect's alibi. | Recent studies corroborate the earlier findings. | He needed someone to corroborate his story. | The ancient texts corroborate the existence of the lost city.,sat_300_plus_vocab_dataset,90,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
72,credulous,too ready to believe,A credulous audience accepted the hoax before experts examined it. | The credulous investor lost all his money in the scam. | Children are naturally credulous. | The cult leader exploited his credulous followers. | A credulous public easily falls for sensational news.,sat_300_plus_vocab_dataset,93,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
73,cursory,quick and superficial,A cursory reading missed the irony that shaped the passage. | The guard gave the ID badge a cursory glance. | The mechanic did a cursory inspection of the engine. | A cursory search of the room turned up nothing. | She offered a cursory apology before rushing off.,sat_300_plus_vocab_dataset,94,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
74,debunk,show that a claim is false,"The article sought to debunk the myth that the invention was created by one person alone. | The editorial tried to debunk a persistent myth, but its evidence was too thin to persuade careful readers. | Rather than debunk a persistent myth, the author acknowledged uncertainty and strengthened the argument. | The committee’s attempt to debunk a persistent myth became a central issue in the investigation. | In the final paragraph, new testimony helps debunk a persistent myth and changes the reader’s interpretation.",sat_300_plus_vocab_dataset,100074,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
75,decorum,proper behavior or restraint,"The judge insisted on decorum, reminding the audience that applause was inappropriate in court. | The scholar presented the idea as a decorum, not as a conclusion supported by complete evidence. | The passage depends on a decorum that readers are expected to question rather than accept. | By invoking a decorum, the author exposes the gap between public appearance and private motive. | The debate turned on a decorum, since no witness could provide decisive proof.",sat_300_plus_vocab_dataset,100075,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
76,deferential,showing respectful submission,"The interviewer was deferential to the scientist but still pressed her on the study’s limitations. | The deferential reply changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its deferential reply became clear once the evidence was examined. | In the debate, the speaker’s deferential reply mattered as much as the facts he presented. | A careful reader would notice how the deferential reply reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100076,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
77,deleterious,harmful over time,The chemical had a deleterious effect on the plants after repeated exposure. | Smoking is highly deleterious to your lungs. | The policy had deleterious consequences for the economy. | Gossip can be deleterious to workplace morale. | He ignored the deleterious impact of his diet.,sat_300_plus_vocab_dataset,10,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
